country,unempbenefits,afp_totlabforce,afp_total,cgd_total,cureduexpen_pri,cureduexpen_sec,cureduexpen_ter,cureduexpen_total,eduattain_doctoral,eduattain_bachelor,eduattain_master,eduattain_sec,eduattain_postsec,eduattain_primary,eduattain_tertiary,eduattain_uppersec,expense,life_expectatbirth_fem,life_expectatbirth_male,life_expectatbirth_total,milexp_gdp,milexp_usd,peacekeepers,suic_mortalityrate_pop,suic_mortalityrate_female,suic_mortalityrate_male,totalreserves,unemptotal_modeiloest,unemptotal_nationalest,score,socialsupport,pay_usd
Maldives,,,,,,,,,,,,,,,,,,80.499,77.229,78.627,,,,,,,30.8614361092971,5.84899997711182,,,,
Mali,,,,,,,,,0.110440000891685,2.24835991859436,,10.0408096313477,6.18122005462646,15.6179399490356,2.81132006645203,7.11877012252808,12.2987251263341,59.649,58.137,58.893,2.80741670812846,481728184.477863,,,,,,7.1100001335144,1.61989998817444,4.39,1.105,
Malta,,,,,,,,,0.491809993982315,18.4249897003174,6.64273977279663,82.1786727905273,30.1369705200195,98.9329223632813,22.1188697814941,45.2157211303711,35.1400939156918,84.6,80.4,82.4487804878049,0.459706607113568,66869091.0378528,,,,,,3.71600008010864,3.65820002555847,6.726,1.52,
Marshall Islands,,,,,,,,,,,,,,,,,57.8650362891928,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,66.292,63.082,64.704,3.0348539684734,159013352.980386,,,,,17.8794538980258,9.46399974822998,,4.49,1.167,
Mauritius,,,,,,,,,,,,,,,,,23.3310720110712,77.72,71.27,74.4163414634146,0.16207677598016,23017460.7749502,,,,,,6.65700006484985,6.42649984359741,5.888,1.402,
Mexico,,,,,,,,,0.0829700008034706,16.0160598754883,1.51269996166229,63.2359199523926,16.4495906829834,82.7533721923828,16.4495906829834,35.6546287536621,20.4492381899093,77.844,72.118,74.992,0.480083516796019,5839521271.01987,,,,,38.9246916773471,3.28299999237061,3.28290009498596,6.595,1.3230000000000002,29951.923076923077
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,21.5071605755872,69.454,66.117,67.755,,,,,,,,,,,,
Moldova,,,,,88.3898315429688,87.4957962036133,92.3911895751953,88.3525390625,0.145689994096756,20.1230392456055,1.11343002319336,97.2897186279297,,99.4423828125,33.5144195556641,75.2385177612305,27.2862681586932,76.074,67.53,71.808,0.334591694688952,37404689.5300252,,,,,40.1993032188788,2.9779999256134,4.11269998550415,5.529,1.328,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
